中文名,英文名,分子式,分子量,CAS号,危规号,性状,溶解性,熔点（℃）,沸点（℃）,相对密度（水＝1）,临界温度（℃）,临界压力（MPa）,相对密度（空气＝1）,燃烧热（KJ/mol）,最小点火能（mJ）,饱和蒸汽压（KPa）,燃烧性,燃烧分解产物,闪点（℃）,聚合危害,爆炸下限（％）,爆炸上限（％）,稳定性,最大爆炸压力（MPa）,引燃温度（℃）,禁忌物,危险特性,消防措施,灭火方法,接触限值,毒理资料,侵入途径,健康危害,皮肤接触,眼睛接触,吸入,食入,工程防护,呼吸系统防护,身体防护,手防护,其他防护,泄漏处理,包装标志,UN编号,包装分类,包装方法,储运条件,饱和蒸汽压（kPa）,饱和蒸汽压（UPa）
氯甲烷；甲基氯,chloromethane；methyl chloride,CH3CI,50.49,74－87－3,23040,无色气体，具有醚样的微甜气味。,易溶于水、乙醇、氯仿等。,－97.7,－23.7,0.92,143.8,6.68,1.78,685.5,,506.62（22℃）,易燃,一氧化碳、二氧化碳、氯化氢、光气。,,不聚合,7.0,19.0,稳定,,632,强氧化剂。,与空气混合能形成爆炸性混合物。遇火花或高热能引起爆炸，并生成剧毒的光气。接触铝及其合金能生成自燃性的铝化合物。,,切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：雾状水、泡沫、二氧化碳。,"中国MAC（mg/m3） 40     前苏联 MAC（mg/m3） 5
美国TVL－TWA  OSHA  100ppm，207 mg/m3；  ACGIH  50ppm，103mg/m3〔皮〕
美国   TLV－STEL   ACGIH   100ppm，207mg/m3〔皮〕",急性毒性： LD50           LC50   5300mg/m3，4小时（大鼠吸入）,吸入。,本品有刺激和麻醉作用，严重损伤中枢神经系统，亦能损害肝、肾和睾丸。急性中毒：轻度者有头痛、眩晕、恶心、呕吐、视力模糊、步态蹒跚、精神错乱等。严重中毒时，可出现谵妄、躁动、抽搐、震颤、视力障碍、昏迷，呼气中有酮体味。尿中检出甲酸盐和酮体有助于诊断。皮肤接触可因氯甲烷在体表迅速蒸发而致冻伤。慢性影响：低浓度长期接触，可发生困倦、嗜睡、头痛、感觉异常、情绪不稳等症状，较重者有步态蹒跚、视力障碍及震颤症状。,若有冻伤，就医治疗。,,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,严加密闭，提供充分的局部排风和全面通风。提供安全淋浴和洗眼设备。,空气中浓度超标时，佩戴过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，必须佩戴正压自给式呼吸器；戴化学安全防护眼镜；穿透气型防毒服；戴防化学品手套。工作现场禁止吸烟、进食和饮水。工作毕，淋浴更衣，注意个人清洁卫生。,,,,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防毒服。尽可能切断泄漏源。合理通风，加速扩散。喷雾状水稀释、溶解。构筑围堤或挖坑收容产生的大量废水。如有可能，将残余气或漏出气用排风机送至水洗塔或与塔相连的通风橱内。漏气容器要妥善处理，修复、检验后再用。,6，7,1063,Ⅱ,钢质气瓶。,易燃压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火种、热源。防止阳光直射。应与氧气、压缩空气、氧化剂等分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。罐储时要有防火防爆技术措施。露天贮罐夏季要有降温措施。禁止使用易产生火花的机械设备和工具。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时要轻装轻卸，防止钢瓶和附件损坏。运输按规定路线行驶，勿在居民区和人口稠密区停留。,,
硫酸,sulfuric acid,H2SO4,98.08,7664－93－9,81007,纯品为无色透明油状液体，无臭。,与水混溶。,10.5,330.0,1.83,,,3.4,无意义,,0.13（145.8℃）,不燃,氧化硫。,无意义,不聚合,无意义,无意义,稳定,无意义,无意义,碱类、碱金属、水、强还原剂、易燃或可燃物。,遇水大量放热，可发生沸溅。与易燃物（如苯）和可燃物（如糖、纤维素等）接触会发生剧烈反应，甚至引起燃烧。遇电石、高氯酸盐、雷酸盐、硝酸盐、苦味酸盐、金属粉末等猛烈反应，发生爆炸或燃烧。有强烈的腐蚀性和吸水性。,,消防人员必须穿全身耐酸碱消防服。灭火剂：干粉、二氧化碳、砂土。避免水流冲击物品，以免遇水会放出大量热量发生喷溅而灼伤皮肤。,"中国MAC（mg/m3） 2   前苏联 MAC（mg/m3） 1
美国TVL－TWA  ACGIH  1mg/m3 美国TLV－STEL  ACGIH  3mg/m3","急性毒性：LD50   2140mg/kg（大鼠经口）
  LC50     510mg/m3，2小时（大鼠吸入）；   320mg/m3，2小时（小鼠吸入）",吸入、食入。,对皮肤、粘膜等组织有强烈的刺激和腐蚀作用。蒸气或雾可引起结膜炎、结膜水肿、角膜混浊，以致失明；引起呼吸道刺激，重者发生呼吸困难和肺水肿；高浓度引起喉痉挛或声门水肿而窒息死亡。口服后引起消化道灼伤以致溃疡形成；严重者可能有胃穿孔、腹膜炎、肾损害、休克等。皮肤灼伤轻者出现红斑，重者形成溃疡，愈合癍痕收缩影响功能。溅入眼内可造成灼伤，甚至角膜穿孔、全眼炎以至失明。慢性影响：牙齿酸蚀症、慢性支气管炎、肺气肿和肺硬化。,立即脱出被污染的衣着。用大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,密闭操作，注意通风。尽可能机械化、自动化。提供安全淋浴和洗眼设备。,可能接触其烟雾时，佩戴自吸过滤式防毒面具（全面罩）或空气呼吸器。紧急事态抢救或撤离时，建议佩戴氧气呼吸器；穿橡胶耐酸碱服；戴橡胶耐酸碱手套。工作现场严禁吸烟、进食和饮水。工作毕，淋浴更衣。单独存放被毒物污染的衣服，洗后备用。保持良好的卫生习惯。,,,,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。不要直接接触泄漏物。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土、干燥石灰或苏打灰混合。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泵转移至槽车或专用收集器内。回收或运至废物处理场所处置。,20,1830,Ⅰ,螺纹口或磨砂口玻璃瓶外木板箱；耐酸坛、陶瓷罐外木板箱或半花格箱。,储存于阴凉、干燥，通风良好的仓间。应与易燃或可燃物、碱类、金属粉末等分开存放。不可混储混运。搬运要轻装轻卸，防止包装及容器损坏。分装和搬运作业要注意个人防护。,,
"1,3-二甲苯；间二甲苯","1,3-xylene；m-xylene",C8H10,106.17,108－38－3,33535,无色透明液体，有类似甲苯的气味。,不溶于水，可混溶与乙醇、乙醚、氯仿等多数有机溶剂。,－47.9,139,0.86,343.9,3.54,3.66,4549.5,,1.33（28.3℃）,易燃,一氧化碳、二氧化碳。,25,不聚合,1.1,7.0,稳定,0.764,525,强氧化剂。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂能发生强烈反应。流速过快，容易产生和积聚静电。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引着回燃。,喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：泡沫、二氧化碳、干粉、砂土。,喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：泡沫、二氧化碳、干粉、砂土。,"中国MAC（mg/m3） 100     前苏联 MAC（mg/m3）  50
美国TVL－TWA  OSHA  100ppm，434mg/m3；  ACGIH  100ppm，1434mg/m3
美国   TLV－STEL   ACGIH  150ppm，651mg/m3",急性毒性：LD50  5000mg/kg（大鼠经口）；   14100mg/kg（兔经皮）     LC50,吸入、食入、经皮吸收。,对眼和上呼吸道有刺激作用，高浓度时对中枢神经系统有麻醉作用。急性中毒：短期内吸入较高浓度本品可出现眼和上呼吸道明显的刺激症状、眼结膜和咽充血、头晕、头痛、恶心、呕吐、胸闷、四肢无力、意识模糊、步态蹒跚。重者可有躁动、抽搐或昏迷。有的有癔病样发作。慢性影响：长期接触有神经衰弱综合征，女工有月经异常，工人常发生皮肤干燥、皲裂、皮炎。,脱出被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐。就医。,生产过程密闭，加强通风。,空气中浓度超标时，佩戴自吸过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，建议佩戴隔离式呼吸器；戴化学安全防护眼镜；穿防毒物渗透工作服；戴乳胶手套。工作现场禁止吸烟、进食和饮水。工作毕，淋浴更衣。保持良好的卫生习惯。,,,,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用活性炭或其它惰性材料吸收。也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，抑制蒸发。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1307,Ⅲ,小开口钢桶，螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、通风仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。保持容器密封。应与氧化剂分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。灌储时要有防火防爆技术措施。露天贮罐夏季要有降温措施。禁止使用易产生火花的机械设备和工具。灌装时应注意流速（不超过3m/s），且有接地装置，防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,,
乙酸酐；醋酸酐,acetic；anhydride,C4H6O3,102.09,108－24－7,81602,无色透明液体，有刺激气味，其蒸气为催泪毒气。,溶与乙醇、乙醚、苯。,－73.1,138.6,1.08,326,4.36,3.52,1804.5,,1.33（36℃）,易燃,一氧化碳、二氧化碳。,49,不聚合,2.0,10.3,稳定,0.600,316,酸类、碱类、水、醇类、强氧化剂、强还原剂、活性金属粉末。,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂接触可发生化学反应。,用雾状水保持火场容器冷却，用水喷射逸出液体，使其稀释成不燃性混合物。并用雾状水保护消防人员。灭火剂：雾状水、抗溶性泡沫、干粉、二氧化碳。,用雾状水保持火场容器冷却，用水喷射逸出液体，使其稀释成不燃性混合物。并用雾状水保护消防人员。灭火剂：雾状水、抗溶性泡沫、干粉、二氧化碳。,"中国MAC（mg/m3） 未制定标准     前苏联 MAC（mg/m3）  未制定标准
美国TVL－TWA  OSHA  5ppm，21mg/m3；  ACGIH  5ppm，21mg/m3〔上限值〕","急性毒性：LD50  1780mg/kg（大鼠经口）；  4000mg/kg（兔经皮）  
          LC50  1780mg/m3，4小时（大鼠吸入）",吸入、食入、经皮吸收。,吸入后对呼吸道有刺激作用，引起咳嗽、胸痛、呼吸困难。蒸气对眼有刺激性。眼和皮肤直接接触液体可致灼伤。口服灼伤口腔和消化道，出现腹痛、恶心、呕吐和休克等。慢性影响：受本品蒸气慢性作用的工人，可有结膜炎、畏光、上呼吸道刺激等。,立即脱出被污染的衣着，用大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,生产过程密闭，加强通风。提供安全淋浴和洗眼设备。,可能接触其蒸气时，必须佩戴自吸过滤式防毒面具（全面罩）。紧急事态抢救或撤离时，建议佩戴空气呼吸器；穿防酸碱塑料工作服；戴橡胶耐酸碱手套。工作现场禁止吸烟、进食和饮水。饭前要洗手。工作毕，淋浴更衣。注意个人清洁卫生。,,,,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。不要直接接触泄漏物。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土、干燥石灰或苏打灰混合。大量泄漏：构筑围堤或挖坑收容；喷雾状水冷却和稀释蒸气、保护现场人员、把泄漏物稀释成不燃物。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,20，7,1715,Ⅱ,小开口铝桶，小开口塑料桶；玻璃瓶、塑料瓶外木板箱或半花格箱。,储存于阴凉、通风仓间内。远离火种、热源。防止阳光直射。仓内温度不宜超过30℃。保持容器密封。应与氧化剂、酸类、碱类分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。分装和搬运作业要注意个人防护。搬运时要轻装轻卸，防止包装及容器损坏。运输按规定路线行驶。雨天不宜运输。,,
聚蚁醛，聚合甲醛,Paraformaldehyde,（HCHO）n,（30.0）n,,41533,白色无定形粉末，具有刺激性气味。,易溶于热水并放出甲醛，缓慢溶解于冷水，并能溶于氢氧化钾、钠及碳酸盐溶液中。不溶于醇和醛。,120～170,,,,,,,,,,,71.1,,,,,,,,受热时立即释放出甲醛气体，该气体对眼睛和粘膜具有刺激性。,,用雾状水、泡沫、二氧化碳、干粉进行灭火。,,,,受热时立即释放出甲醛气体，该气体对眼睛和粘膜具有刺激性。易被明火点燃。在燃烧过程中放出大量的甲醛气体。该气体有毒，能刺激眼睛和皮肤。,立即用水冲洗。,,,,,,,,,,易燃固体,,,（Ⅲ）类 木箱内衬塑料袋。,储存于阴凉、通风的仓间内。远离热源和火源。防潮、防水。与氧化剂隔离储运。搬运时轻装轻卸，防止包装破损。,,
镇草宁；膦酸甘氨酸；甘氨磷；农达；膦甘酸；草甘宁；时拔克；Round-UP；MON 0459；MON 0468；MON 0573；MON 1139；MON 2139；Spark,Glyphosate,C3H8NO5P,169.1,,61904、61905,纯品为不挥发性白色固体。,微溶于水。不溶于一般有机溶剂。其异丙胺盐完全溶解于水。,,,0.5,,,,,,,,,,,,,,,,,低毒除草剂。,,用干粉、泡沫、砂土灭火。,,低毒除草剂。原粉大鼠口径LD50：4300mg/kg ；兔经皮LD50＞5000mg/kg 。对兔眼睛和皮肤有轻度刺激作用。对豚鼠皮肤无过敏和刺激作用。在试验条件下对动物未见致畸、致突变、致癌作用。对鱼和水生生物毒性较低。对蜜蜂和鸟类无毒害。对天敌及有益生物较安全。,,,皮肤污染立即更换衣服，用肥皂和水清洗，并送医院抢救。,,,,,,,,,用砂土吸收倒至空旷地方深埋。被污染地面撒些石灰，再用大量水冲洗，经稀释的污水放入废水系统。,毒害品。乳油增加副标志：易燃液体。,2588、2902、2903、3021,,液体用铁桶或玻璃瓶外钙塑箱（纸箱或木箱）内衬瓦楞纸，固体用编织袋装。,现场不得吸烟、喝水、进食。不能与粮食、食品、种子、饲料、各种日用品混装混运。轻装轻卸，防止容器破损。防潮、防高温曝晒、防雨淋。寒冷季节要注意保持温度在结晶点以上，防止冻裂容器及变质。严禁火种。储存于阴凉、干燥、通风的仓间内。专人保管。,,
富士一号；IPT；F－1、FUJ1－ONE，NNF109，SS1046,Isoprothiolane,C12H18O4S,290.4,,61894、61895,纯品为白色结晶，略有臭味。,微溶于水。易溶于有机溶剂。,54～54.5,167～169（66.65Pa）,1.04±0.02,,,,,,,,,,,,,,,,,低毒杀菌剂。,,用干粉、泡沫、砂土灭火。,,低毒杀菌剂。原粉大鼠口径LD50：1190mg/kg（雄）；1340mg/kg（雌）；大鼠经皮LD50＞10250mg/kg 。对兔眼睛和皮肤无刺激作用。在试验条件下，未见致突变作用。大鼠未见致畸、致癌作用。稻瘟灵对鱼内类的急性毒性属中等毒。,,,皮肤污染立即更换衣服，用肥皂及水清洗，并送医院抢救。,,,,,,,,,用砂土吸收倒至空旷地方深埋。被污染地面撒些石灰，再用大量水冲洗，经稀释的污水放入废水系统。,毒害品。乳油增加副标志：易燃液体。,2588、2902、2903、3021,,液体用铁桶或玻璃瓶外钙塑箱（纸箱或木箱）内衬瓦楞纸，固体用编织袋装（或钙塑箱、纤维板箱）。,现场不得吸烟、喝水、进食。不能与粮食、食品、种子、饲料、各种日用品混装混运。轻装轻卸，防止容器破损。防潮、防高温曝晒、防雨淋。寒冷季节要注意保持温度在结晶点以上，防止冻裂容器及变质。严禁接触火种。储存于阴凉、干燥、通风的仓间内。专人保管。,,
异丙胺；2－氨基丙烷,isopropylamine；2-aminopropane,C3H9N,59.11,75－31－0,31047,无色易挥发液体，有带鱼腥的氨臭。,与水混溶，可混溶于乙醇、乙醚。,－101.2,31.7,0.69,,,2.03,,2.0,29.73（4.5℃）,易燃,一氧化碳、二氧化碳、氧化氮。,－32,不聚合,2.0,10.4,稳定,,400,酸类、酰基氯、酸酐、强氧化剂、二氧化碳。,其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引着回燃。具有腐蚀性。,喷水冷却容器，可能的话将容器从火场移至空旷处，处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离。灭火剂：抗溶性泡沫、二氧化碳、干粉、砂土。用水灭火无效。,,"中国MAC（mg/m3） 未制定标准     前苏联 MAC（mg/m3）  1
美国TVL－TWA  OSHA  5ppm，12mg/m3；  ACGIH  5ppm，12mg/m3
美国   TLV－STEL   ACGIH  10ppm，24mg/m3
LD50  820mg/kg（兔经口）；380mg/kg（兔经皮）  LC50  9672mg/m3，4小时（大鼠吸入）",,吸入、食入、经皮吸收。,吸入本品蒸气或雾，对呼吸道有刺激性；持续高浓度吸入引起肺水肿。蒸气对眼有强烈刺激性；液体或雾严重损害眼睛，重者可致失明。可致皮肤灼伤。口服灼伤消化道，大量口服引起死亡。,立即脱出被污染的衣着，用大量清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,生产过程密闭，加强通风。提供安全淋浴和洗眼设备,可能接触其蒸气时，必须佩戴自吸过滤式防毒面具（全面罩）。,穿胶布防毒衣；戴防苯耐油手套。,,工作现场禁止吸烟、进食和饮水。工作毕，淋浴更衣。实行就业前和定期的体检。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。不要直接接触泄漏物。尽可能切断泄漏源，防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土或其它不燃材料吸附或吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1221,Ⅰ,小开口钢桶，螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。安瓿瓶外木板箱；钢质气瓶。,储存于阴凉、通风仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。包装要求密封，不可与空气接触。应与氧化剂、酸类分开存放。仓间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。灌储时要有防火防爆技术措施。露天贮罐夏季要有降温措施。禁止使用易产生火花的机械设备和工具。充装要控制流速，注意防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。运输按规定路线行驶，中途不得停留。,,
次氯酸钙；漂白粉,calcium hypochlorite；Bleaching powder,Ca（ClO）2,142.99,7778－54－3,51043,白色粉末，有极强的氯臭。其溶液为黄绿色半透明液体。,溶于水。,100（分解）,,2.35,,,6.9,,,,不燃,氯化物、氧化钙。,,不聚合,,,稳定,,,强还原剂、强酸、氨、易燃或可燃物、水。,强氧化剂。遇水或潮湿空气会引起燃烧爆炸。与碱性物质混合能引起爆炸。接触有机物有引起燃烧的危险。受热、遇酸或日光照射会分解放出剧毒的氯气。,消防人员须佩戴防毒面具、穿全身消防服。灭火剂：水、雾状水、砂土。,,"中国MAC（mg/m3） 未制定标准     前苏联 MAC（mg/m3）  未制定标准
美国TVL－TWA  未制定标准       TLV－STEL  未制定标准
急性毒性：  LD50  850mg/kg（大鼠经口）      LC50",,吸入、食入。,本品粉尘对眼结膜及呼吸道有刺激性，可引起牙齿损害。皮肤接触可引起中至重度皮肤损害。,立即脱出被污染的衣着，用肥皂水和清水彻底冲洗皮肤。就医。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。 食入：饮足量温水，催吐。就医。,,生产过程密闭，加强通风。提供安全淋浴和洗眼设备,可能接触其粉尘时，建议佩戴头罩型电动送风过滤式防尘呼吸器。,穿胶布防毒衣；戴氯丁橡胶手套。,,工作现场禁止吸烟、进食和饮水。工作毕，淋浴更衣。保持良好的卫生习惯。,隔离泄漏污染区，限制出入。建议应急处理人员戴自给式呼吸器，穿一般作业工作服。不要直接接触泄漏物。勿使泄漏物与还原剂、有机物、易燃物或金属粉末接触。小量泄漏：避免扬尘，用洁净的铲子收集于干燥、洁净、有盖的容器中。转移至安全场所。大量泄漏：用塑料布、帆布覆盖，减少飞扬。然后收集回收或运至废物处理场所处置。,11,1748,Ⅰ,塑料袋、多层牛皮纸袋外全开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、通风仓间内。远离火种、热源。防止阳光直射。保持容器密封。应与易燃或可燃物、酸类等分开存放。切忌混储混运。不宜大量或久存。搬运时要轻装轻卸，防止包装及容器损坏。禁止震动、撞击和摩擦。,,
氯化氢；盐酸,hydrogen chloride,HCI,36.46,7647－01－0,22022,无色有刺激性气味的气体。,易溶于水。,－114.2,－85.0,1.19,51.4,8.26,1.27,,,4225.6（20℃）,不燃,,,不聚合,,,稳定,,,碱类、活性金属粉末。,无水氯化氢无腐蚀性，但遇水有强腐蚀性。能与一些活性金属粉末发生反应，放出氢气。遇氰化物能产生剧毒的氰化氢气体。,本品不燃。但与其它物品接触引起火灾时，消防人员须穿戴全身防护服，关闭火场中钢瓶的阀门，减弱火势，并用水喷淋保护去关闭阀门的人员。喷水冷却容器，可能的话将容器从火场移至空旷处。,,"中国MAC（mg/m3） 15     前苏联 MAC（mg/m3） 未制定标准
美国TVL－TWA  OSHA  5ppm，7.5〔上限值〕；美国 TLV－STEL  ACGIH 5ppm，7.5mg/m3
急性毒性：LD50                LC50  4600mg/m3，1小时（大鼠吸入）",,吸入。,本品对眼和呼吸道粘膜有强烈的刺激作用。急性中毒：出现头痛、头昏、恶心、眼痛、咳嗽、痰中带血、声音嘶哑、呼吸困难、胸闷、胸痛等。重者发生肺炎、肺水肿、肺不张。眼角膜可见溃疡或混浊。皮肤直接接触可出现大量粟粒样红色小丘疹而呈潮红痛热。慢性影响：长期较高浓度接触，可引起慢性支气管炎、胃肠功能障碍及牙齿酸蚀症。,立即脱出被污染的衣着，用大量清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,严加密闭，提供充分的局部排风和全面通风。,空气中浓度超标时，佩戴过滤式防毒面具（半面罩）。紧急事态抢救或撤离时，建议佩戴空气呼吸器。必要时，戴化学安全防护眼镜。穿化学防护服；戴橡胶手套。工作毕，淋浴更衣。保持良好的卫生习惯。,,,,迅速撤离泄漏污染区人员至上风处，并立即进行隔离，小泄漏时隔离150m，大泄漏时隔离300m，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿防毒服。从上风处进入现场。尽可能切断泄漏源。合理通风，加速扩散。喷氨水或其它稀碱液中和。构筑围堤或挖坑收容产生的大量废水。如有可能，将残余气或漏出气用排风机送至水洗塔或与塔相连的通风橱内。漏气容器要妥善处理，修复、检验后再用。,5，20,1050,Ⅲ,钢质气瓶。,不燃有毒压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火种、热源，防止阳光直射。应与碱类、金属粉末、易燃或可燃物等分开存放。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时要轻装轻卸，防止钢瓶及附件破损。运输按规定路线行驶，勿在居民区和人口稠密区停留。,,
氰化氢,hydrogen cyanide,HCN,27.03,74－90－8,61003,无色气体或液体，有苦杏仁味,溶于水，醇，醚等,－13.2,25.7,0.69,183.5,4.95,0.93,,,53.32（9.8℃）,易燃,氰化氢，氮氧化物。,－17.8,聚合,5.6,40.0,稳定,0.920,538,强氧化剂，碱类，酸类。,易燃，其蒸气与空气各形成爆炸性混合物。遇明火，高热能引起燃烧爆炸。长期放置则因水分而聚合，聚合物本身有自催化作用，可引起爆炸。,切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。消防人员必须穿戴全身专用防护服，佩戴氧气呼吸器，再安全距离以外或有防护措施处操作。灭火剂：干粉，抗溶性泡沫，二氧化碳。用水灭火无效，但须用水保持火场容器冷却。用雾状水驱散蒸气。,,LC50：357mg/m3，5分钟（小鼠吸入）,,吸入，食入,抑制呼吸酶，造成细胞内窒息。急性中毒：短时间内吸入高浓度氰化氢气体，可立即呼吸停止而死亡。非骤死者临床分为4期：前驱期有粘膜刺激、呼吸加快加深、乏力、头痛，口服有舌尖口腔发麻等；呼吸困难期有呼吸困难、血压升高、皮肤粘膜呈鲜红色等；惊厥期出现抽搐、昏迷、呼吸衰竭；麻痹期全身肌肉松弛，呼吸心跳停止而死亡。可致眼、皮肤灼伤，吸收引起中毒。慢性中毒：神经衰弱综合症、皮炎。,立即脱去被污染的衣着，用流动清水或5％硫代硫酸钠溶液彻底冲洗至少20分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处。保持呼吸道通畅。,饮足量温水，催吐，用1︰5000高锰酸钾或5％硫代硫酸钠溶液洗胃。就医。,严加密闭，提供充分的局部排风和全面通风。采用隔离式操作。尽可能机械化自动化。提供安全淋浴和洗眼设备。,穿连衣式胶布防毒衣，戴橡胶手套。,,,,迅速撤离泄漏污染区人员至安全区，并立即隔离150米，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防毒服。尽可能切断泄漏源。合理通风，加速扩散。喷雾状水稀释、溶解。构筑围堤或挖坑收容产生的大量废水。如有可能，应考虑将其引燃，以排除毒性气体的积聚。或将残余气或漏出气有排风机送至水洗塔或与塔相连的通风橱内。漏气容器要妥善处理，修复、检查后再用。,13，7,1051,Ⅰ,钢质气瓶,储存于阴凉通风仓间内。仓内温度不宜超过30℃。远离火种热源，防止阳光直射。保持容器密封。应与氧化物、酸类、碱类分开存放。,,
